,job_title,company,salary,contract,location,job_url,date_found,advertised_on
64,"Data Engineer - Data Lake, Data Pipelines, BI",P3 Search & Selection,"£45,000 - £55,000 per annum",Permanent,Sevenoaks,https://www.reed.co.uk/jobs/data-engineer-data-lake-data-pipelines-bi/48350103,2022-10-31,reed.co.uk
66,Data Entry Admin,HR GO Recruitment,£10.00 per hour,Temporary,Ashford,https://www.reed.co.uk/jobs/data-entry-admin/48574900,2022-10-31,reed.co.uk
68,Azure Data Engineer,GerrardWhite,,Permanent,Tunbridge Wells,https://www.reed.co.uk/jobs/azure-data-engineer/48315303,2022-10-31,reed.co.uk
69,Data Engineering Consultant ,Recruitment Solutions,"£30,000 - £35,000 per annum",Permanent,Sevenoaks,https://www.reed.co.uk/jobs/data-engineering-consultant/48316096,2022-10-31,reed.co.uk
70,Workforce Data Analyst,Morgan Law,£228.46 - £250.00 per day,Temporary,Kent,https://www.reed.co.uk/jobs/workforce-data-analyst/48431584,2022-10-31,reed.co.uk
72,Marketing Data Analyst,Morgan McKinley,"£40,000 - £42,000 per annum",Permanent,East Grinstead,https://www.reed.co.uk/jobs/marketing-data-analyst/48264714,2022-10-31,reed.co.uk
77,Graduate Data Analyst,Huntress,"£23,000 per annum",Permanent,Tenterden,https://www.reed.co.uk/jobs/graduate-data-analyst/48389352,2022-10-31,reed.co.uk
82,Data & Marketing Analyst,Morgan McKinley,"£40,000 - £42,000 per annum",Permanent,East Grinstead,https://www.reed.co.uk/jobs/data-marketing-analyst/48645575,2022-10-31,reed.co.uk
84,Data & GDPR Officer,Pearson Whiffin Recruitment Ltd,"£35,000 per annum, negotiable",Permanent,Kings Hill,https://www.reed.co.uk/jobs/data-gdpr-officer/48681822,2022-10-31,reed.co.uk
89,Invoice Data Entry Clerk,Connect2Staff,£9.50 - £10.00 per hour,Contract,Aylesford,https://www.reed.co.uk/jobs/invoice-data-entry-clerk/48260558,2022-10-31,reed.co.uk
90,Project Officer / Data Analyst,Brook Street,£12.00 per hour,Temporary,South Ashford,https://www.reed.co.uk/jobs/project-officer-data-analyst/48271055,2022-10-31,reed.co.uk
92,Data Analyst - Tower Hamlets,4Recruitment Services ,£23.00 per hour,Contract,Tower Hamlets,https://www.reed.co.uk/jobs/data-analyst-tower-hamlets/48450673,2022-10-31,reed.co.uk
96,Trade Data Scala Developer,McGregor Boyall,£650.00 - £850.00 per day,Contract,Bromley,https://www.reed.co.uk/jobs/trade-data-scala-developer/48344623,2022-10-31,reed.co.uk
100,Data Administrator 6 month Fixed Term Contract,SAGA,"£1 - £23,600 per annum",Temporary,Sandgate,https://www.reed.co.uk/jobs/data-administrator-6-month-fixed-term-contract/48246944,2022-10-31,reed.co.uk
102,Part time - Data Processing Assistant 9 month contract,Office Angels,"£21,000 - £24,000 per annum",Contract,Basildon,https://www.reed.co.uk/jobs/part-time-data-processing-assistant-9-month-contract/48339779,2022-10-31,reed.co.uk
104,Digital Analyst/Data Visualisation Executive- Remote,Recruitment Solutions,"£30,000 - £35,000 per annum",Permanent,Tunbridge Wells,https://www.reed.co.uk/jobs/digital-analyst-data-visualisation-executive-remote/48636101,2022-10-31,reed.co.uk
106,Temporary Database Administrator,Julie Rose Recruitment,£11.00 - £13.00 per hour,Temporary,Sevenoaks,https://www.reed.co.uk/jobs/temporary-database-administrator/48344699,2022-10-31,reed.co.uk
107,SQL Server Database Developer,Lorien,"£70,000 - £85,000 per annum",Permanent,Bromley,https://www.reed.co.uk/jobs/sql-server-database-developer/48094316,2022-10-31,reed.co.uk
