,employerName,jobTitle,locationName,salary,externalUrl,jobUrl,contractType
35,Newto IT,Data Analyst - Trainee,United Kingdom,,,https://www.reed.co.uk/jobs/data-analyst-trainee/48573501,Permanent
36,Newto IT,Trainee - Data Analyst,United Kingdom,,,https://www.reed.co.uk/jobs/trainee-data-analyst/48573498,Permanent
37,Harris Federation,Data Lead and Manager,Orpington,"£40,566 - £42,585 per annum",https://www.harriscareers.org.uk/200/search-our-vacancies/career/18635/data-lead-and-manager,https://www.reed.co.uk/jobs/data-lead-and-manager/48473616,Permanent
38,Pontoon,Java/Big Data Developer,Bromley,,,https://www.reed.co.uk/jobs/java-big-data-developer/48555907,Permanent
39,Commercial Services HR,Data and BI Analyst,Kings Hill,"£30,000 - £35,000 per annum",https://careers.commercialservices.org.uk/jobs/2157303-data-and-bi-analyst,https://www.reed.co.uk/jobs/data-and-bi-analyst/48625098,Permanent
40,Hatch,Trainee Data Analyst Course,United Kingdom,,https://hatch-digital.com/data-analyst-course-reed/,https://www.reed.co.uk/jobs/trainee-data-analyst-course/48630039,Permanent
41,SS&C,Data Migration Delivery Lead,Basildon,,,https://www.reed.co.uk/jobs/data-migration-delivery-lead/48215884,Permanent
42,Rutherford Briant,Supply Chain Data Analyst,Basildon,"£42,000 per annum",,https://www.reed.co.uk/jobs/supply-chain-data-analyst/48610970,Permanent
43,Connect2Staff,Invoice Data Entry Clerk,Aylesford,£9.50 - £10.00 per hour,,https://www.reed.co.uk/jobs/invoice-data-entry-clerk/48260558,Contract
44,Hastings Direct,Customer Operations Data Analyst,Bexhill-on-Sea,,https://www.aplitrak.com/?adid=bWluYWF6YW0uODM4NjAuMzQ3OUBoYXN0aW5ncy5hcGxpdHJhay5jb20,https://www.reed.co.uk/jobs/customer-operations-data-analyst/48381994,Permanent
45,Hatch,Interested in becoming a Data Analyst,United Kingdom,,https://hatch-digital.com/data-analyst-course-reed/,https://www.reed.co.uk/jobs/interested-in-becoming-a-data-analyst/48630042,Permanent
46,Brook Street,Project Officer / Data Analyst,South Ashford,£12.00 per hour,,https://www.reed.co.uk/jobs/project-officer-data-analyst/48271055,Temporary
47,4Recruitment Services ,Data Analyst - Tower Hamlets,Tower Hamlets,£23.00 per hour,,https://www.reed.co.uk/jobs/data-analyst-tower-hamlets/48450673,Contract
48,Hastings Direct,Principal Engineer - Data Services,East Sussex,,https://www.aplitrak.com/?adid=Q2hyaXN0b3BoZXJIdWdoZXMuNzc3NzQuMzQ3OUBoYXN0aW5ncy5hcGxpdHJhay5jb20,https://www.reed.co.uk/jobs/principal-engineer-data-services/48275415,Permanent
49,925HomeJobs,Data Entry Work From Home Online,United Kingdom,,https://www.clkmg.com/timspud32/PL59,https://www.reed.co.uk/jobs/data-entry-work-from-home-online/48635620,Permanent
50,Newto IT,Trainee Data Analyst - immediate start,United Kingdom,,,https://www.reed.co.uk/jobs/trainee-data-analyst-immediate-start/48573486,Permanent
51,Newto IT,Trainee Data Analyst - immediate start,United Kingdom,,,https://www.reed.co.uk/jobs/trainee-data-analyst-immediate-start/48599516,Permanent
52,McGregor Boyall,Trade Data Scala Developer,Bromley,£650.00 - £850.00 per day,,https://www.reed.co.uk/jobs/trade-data-scala-developer/48344623,Contract
54,925HomeJobs,Data Entry Work From Home Online,Kent,,https://www.clkmg.com/timspud32/PL55,https://www.reed.co.uk/jobs/data-entry-work-from-home-online/48024001,Permanent
55,Newto IT,Trainee Data Analyst - No experience necessary,United Kingdom,,,https://www.reed.co.uk/jobs/trainee-data-analyst-no-experience-necessary/48573490,Permanent
56,Newto IT,Trainee Data Analyst - No experience necessary,United Kingdom,,,https://www.reed.co.uk/jobs/trainee-data-analyst-no-experience-necessary/48599505,Permanent
57,Nigel Frank International,Senior Data Engineer - Hybrid - London,Dartford,"£60,000 - £72,000 per annum",,https://www.reed.co.uk/jobs/senior-data-engineer-hybrid-london/48610340,Permanent
58,Hatch,Data Analyst Course - No Experience Needed ,United Kingdom,,https://hatch-digital.com/data-analyst-course-reed/,https://www.reed.co.uk/jobs/data-analyst-course-no-experience-needed/48630052,Permanent
59,Hatch,Trainee Data Analyst - No experience Needed,United Kingdom,,https://hatch-digital.com/data-analyst-course-reed/,https://www.reed.co.uk/jobs/trainee-data-analyst-no-experience-needed/48630049,Permanent
60,SAGA,Data Administrator 6 month Fixed Term Contract,Sandgate,"£1 - £23,600 per annum",https://careershub.saga.co.uk/members/?j=2078&ATSI=saga&jobboard=Reed v2&c=vacancyposter,https://www.reed.co.uk/jobs/data-administrator-6-month-fixed-term-contract/48246944,Temporary
61,Academics ,School Data Admin support - SIittingbourne,Sittingbourne,£12.00 per hour,,https://www.reed.co.uk/jobs/school-data-admin-support-siittingbourne/48382807,Contract
62,Office Angels,Part time - Data Processing Assistant 9 month contract,Basildon,"£21,000 - £24,000 per annum",,https://www.reed.co.uk/jobs/part-time-data-processing-assistant-9-month-contract/48339779,Contract
63,Randstad Education,Exams & Data Officer - Bromley / Kent Borders Nov 2022,Swanley,"£23,718 - £25,170 per annum",,https://www.reed.co.uk/jobs/exams-data-officer-bromley-kent-borders-nov-2022/48415285,Permanent
64,Recruitment Solutions,Digital Analyst/Data Visualisation Executive- Remote,Tunbridge Wells,"£30,000 - £35,000 per annum",,https://www.reed.co.uk/jobs/digital-analyst-data-visualisation-executive-remote/48636101,Permanent
