,jobTitle,employerName,salary,contractType,locationName,jobUrl
28,Data Product Lead,Nigel Frank International,"£60,000 - £68,000 per annum",Permanent,Maidstone,https://www.reed.co.uk/jobs/data-product-lead/48586852
29,Graduate Data Analyst,Huntress,"£23,000 per annum",Permanent,Tenterden,https://www.reed.co.uk/jobs/graduate-data-analyst/48389352
30,Junior Data Analyst,OBJECTIVE HR LTD,"£25,000 - £35,000 per annum",Permanent,Wickford,https://www.reed.co.uk/jobs/junior-data-analyst/48535395
31,Data Cabling engineer. ,F&D Tech Solutions,"£22,000 - £38,000 per annum, negotiable, OTE",Permanent,Bexleyheath,https://www.reed.co.uk/jobs/data-cabling-engineer/48475959
32,Claims Data Analyst,Hastings Direct,,Permanent,East Sussex,https://www.reed.co.uk/jobs/claims-data-analyst/48405690
33,Data Analyst - Trainee,Newto IT,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/data-analyst-trainee/48599496
34,Trainee - Data Analyst,Newto IT,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/trainee-data-analyst/48599500
35,Data Analyst - Trainee,Newto IT,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/data-analyst-trainee/48573501
36,Trainee - Data Analyst,Newto IT,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/trainee-data-analyst/48573498
37,Data Lead and Manager,Harris Federation,"£40,566 - £42,585 per annum",Permanent,Orpington,https://www.reed.co.uk/jobs/data-lead-and-manager/48473616
38,Java/Big Data Developer,Pontoon,,Permanent,Bromley,https://www.reed.co.uk/jobs/java-big-data-developer/48555907
39,Data and BI Analyst,Commercial Services HR,"£30,000 - £35,000 per annum",Permanent,Kings Hill,https://www.reed.co.uk/jobs/data-and-bi-analyst/48625098
40,Trainee Data Analyst Course,Hatch,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/trainee-data-analyst-course/48630039
41,Data Migration Delivery Lead,SS&C,,Permanent,Basildon,https://www.reed.co.uk/jobs/data-migration-delivery-lead/48215884
42,Supply Chain Data Analyst,Rutherford Briant,"£42,000 per annum",Permanent,Basildon,https://www.reed.co.uk/jobs/supply-chain-data-analyst/48610970
43,Invoice Data Entry Clerk,Connect2Staff,£9.50 - £10.00 per hour,Contract,Aylesford,https://www.reed.co.uk/jobs/invoice-data-entry-clerk/48260558
44,Customer Operations Data Analyst,Hastings Direct,,Permanent,Bexhill-on-Sea,https://www.reed.co.uk/jobs/customer-operations-data-analyst/48381994
45,Interested in becoming a Data Analyst,Hatch,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/interested-in-becoming-a-data-analyst/48630042
46,Project Officer / Data Analyst,Brook Street,£12.00 per hour,Temporary,South Ashford,https://www.reed.co.uk/jobs/project-officer-data-analyst/48271055
47,Data Analyst - Tower Hamlets,4Recruitment Services ,£23.00 per hour,Contract,Tower Hamlets,https://www.reed.co.uk/jobs/data-analyst-tower-hamlets/48450673
48,Principal Engineer - Data Services,Hastings Direct,,Permanent,East Sussex,https://www.reed.co.uk/jobs/principal-engineer-data-services/48275415
49,Data Entry Work From Home Online,925HomeJobs,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/data-entry-work-from-home-online/48635620
50,Trainee Data Analyst - immediate start,Newto IT,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/trainee-data-analyst-immediate-start/48573486
51,Trainee Data Analyst - immediate start,Newto IT,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/trainee-data-analyst-immediate-start/48599516
52,Trade Data Scala Developer,McGregor Boyall,£650.00 - £850.00 per day,Contract,Bromley,https://www.reed.co.uk/jobs/trade-data-scala-developer/48344623
54,Data Entry Work From Home Online,925HomeJobs,,Permanent,Kent,https://www.reed.co.uk/jobs/data-entry-work-from-home-online/48024001
55,Trainee Data Analyst - No experience necessary,Newto IT,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/trainee-data-analyst-no-experience-necessary/48573490
56,Trainee Data Analyst - No experience necessary,Newto IT,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/trainee-data-analyst-no-experience-necessary/48599505
57,Senior Data Engineer - Hybrid - London,Nigel Frank International,"£60,000 - £72,000 per annum",Permanent,Dartford,https://www.reed.co.uk/jobs/senior-data-engineer-hybrid-london/48610340
58,Data Analyst Course - No Experience Needed ,Hatch,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/data-analyst-course-no-experience-needed/48630052
59,Trainee Data Analyst - No experience Needed,Hatch,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/trainee-data-analyst-no-experience-needed/48630049
60,Data Administrator 6 month Fixed Term Contract,SAGA,"£1 - £23,600 per annum",Temporary,Sandgate,https://www.reed.co.uk/jobs/data-administrator-6-month-fixed-term-contract/48246944
61,School Data Admin support - SIittingbourne,Academics ,£12.00 per hour,Contract,Sittingbourne,https://www.reed.co.uk/jobs/school-data-admin-support-siittingbourne/48382807
62,Part time - Data Processing Assistant 9 month contract,Office Angels,"£21,000 - £24,000 per annum",Contract,Basildon,https://www.reed.co.uk/jobs/part-time-data-processing-assistant-9-month-contract/48339779
63,Exams & Data Officer - Bromley / Kent Borders Nov 2022,Randstad Education,"£23,718 - £25,170 per annum",Permanent,Swanley,https://www.reed.co.uk/jobs/exams-data-officer-bromley-kent-borders-nov-2022/48415285
